id,customer_id,address_type,postal_code,street,number,complement,district,city,state,country,is_primary
1,1,billing,93032-645,Núcleo Macedo,13,,Vila Aeroporto,Martins,SP,BR,TRUE
2,1,secondary,06351-685,Via Cassiano,77,,Vila Piratininga Venda Nova,Freitas de Campos,BA,BR,FALSE
3,1,secondary,83799-005,Passarela Silveira,49,,Delta,Monteiro,PA,BR,FALSE
4,2,billing,34228562,Fazenda de Martins,83,Apto 225,Vila Real 1ª Seção,Caldeira,AL,BR,TRUE
5,3,billing,37008942,Favela de da Cunha,4,Apto 704,Distrito Industrial Do Jatoba,da Conceição,SP,BR,TRUE
6,3,billing,18838456,Chácara de Cardoso,97,,Vila Batik,da Mata,PB,BR,FALSE
7,3,billing,71985176,Viaduto de Gomes,506,,Mariquinhas,das Neves da Mata,SC,BR,FALSE
8,4,billing,15783792,Lago Bento Duarte,82,,Distrito Industrial Do Jatoba,Moreira do Galho,MS,BR,TRUE
9,4,billing,42883903, Quadra de Pimenta,478,,Vila Independencia 3ª Seção,Barros,RR,BR,FALSE
10,5,billing,03219-859,Pátio de Ferreira,11,Apto 250,Morro Dos Macacos,Lopes do Galho,MG,BR,TRUE
11,5,secondary,67347671,Travessa Sophia Lima,92,,Tres Marias,Silveira de Minas,SC,BR,FALSE
12,6,billing,38524276,Distrito Caldeira,75,Apto 374,Dom Silverio,da Conceição Paulista,RN,BR,TRUE
13,6,secondary,94038-955,Lago de Leão,66,Apto 317,Barreiro,Cunha de Andrade,AL,BR,FALSE
14,7,billing,10273663,Esplanada de Ferreira,47,,Vila Nova Gameleira 2ª Seção,Cavalcante,SC,BR,TRUE
15,8,billing,48749391,Viaduto Heloísa Abreu,2,,Antonio Ribeiro De Abreu 1ª Seção,da Rosa,PI,BR,TRUE
16,9,billing,60732-644,Sítio Miguel Rios,68,Apto 954,Braúnas,Lopes de Vieira,AL,BR,TRUE
17,10,billing,93716458,Aeroporto da Paz,47,,Vila Nova Dos Milionarios,Leão das Pedras,RJ,BR,TRUE
18,11,billing,47338-780,Largo de Cardoso,690,,Monsenhor Messias,Ferreira de Minas,PI,BR,TRUE
19,11,secondary,78477198,Rodovia de da Costa,44,Apto 450,Venda Nova,Moraes Alegre,RN,BR,FALSE
20,12,billing,80625023,Rodovia Oliveira,764,,Vista Alegre,da Luz,ES,BR,TRUE
21,12,billing,35486-952,Estação Caldeira,16,Apto 387,Bela Vitoria,Moreira,PI,BR,FALSE
22,12,secondary,35469466,Lagoa Pastor,4,,Providencia,da Luz dos Dourados,GO,BR,FALSE
23,13,billing,69116-122,Loteamento Aparecida,79,Apto 558,Vila Suzana Primeira Seção,Santos do Galho,RR,BR,TRUE
24,13,secondary,90041589,Favela Cunha,92,,Nova Esperança,Abreu do Campo,TO,BR,FALSE
25,13,secondary,85500295,Estrada Rafaela Albuquerque,1,Apto 124,Xodo-Marize,Martins do Campo,PI,BR,FALSE
26,14,billing,58061949,Trecho de Camargo,66,,Aparecida 7ª Seção,Fernandes do Campo,RJ,BR,TRUE
27,14,secondary,93968718,Viaduto Marina Barbosa,90,Apto 049,Cônego Pinheiro 2ª Seção,Santos,CE,BR,FALSE
28,14,secondary,07196-129,Favela Carvalho,4,,Jaqueline,Castro Grande,AL,BR,FALSE
29,15,billing,00371-775,Sítio de Ferreira,82,Apto 480,Mirtes,Caldeira de Minas,RR,BR,TRUE
