id,person_type,legal_name,trade_name,tax_id,state_registration,email,phone,is_active,created_at,updated_at
1,PJ,Alves e Filhos S.A.,da Cruz,11713629000103,321819600,alves.e.filhos.s.a.1@example.com,5533989083863,TRUE,2023-03-31 02:40:24,2026-02-06 22:34:19
2,PF,Lara Abreu,,72890168662,,lara.abreu.2@example.com,55065942351161,FALSE,2021-04-16 19:11:04,2025-08-10 09:44:20
3,PF,Dr. João Aparecida,,21754824560,,dr.jo.o.aparecida.3@example.com,55081961849593,TRUE,2022-07-13 09:24:05,2025-08-29 18:44:03
4,PJ,Aparecida e Filhos Ltda,Vargas da Rocha S/A,61265639000193,316475255,aparecida.e.filhos.ltda.4@example.com,5541992832764,TRUE,2023-06-25 23:00:38,2026-06-30 06:11:38
5,PF,Hellena Rodrigues,,93400262684,,hellena.rodrigues.5@example.com,5503905641395,TRUE,2020-07-29 03:14:39,2020-08-07 02:26:40
6,PF,Theo Gonçalves,,00429721404,,theo.gon.alves.6@example.com,55024923884969,TRUE,2022-12-06 20:43:52,2023-02-22 04:50:26
7,PF,Maria Cecília Câmara,,99767757171,,maria.cec.lia.c.mara.7@example.com,55087910122691,TRUE,2024-04-23 19:44:19,2026-01-14 07:04:43
8,PF,Maria Helena Peixoto,,15181443060,,maria.helena.peixoto.8@example.com,55084980184514,TRUE,2022-11-20 00:43:52,2025-01-25 00:11:35
9,PF,Eduarda Marques,,42188462009,,eduarda.marques.9@example.com,5548928148932,TRUE,2021-11-09 07:41:03,2023-08-24 19:45:20
10,PF,Sr. Vitor Hugo Vasconcelos,,31005262446,,sr.vitor.hugo.vasconcelos.10@example.com,5509957015430,TRUE,2022-03-20 14:47:20,2024-12-13 23:49:54
11,PJ,Nunes Barros S/A Ltda,Azevedo,30591520000187,822782489,nunes.barros.s.a.ltda.11@example.com,5538934657871,TRUE,2025-12-26 06:00:47,2026-01-25 18:03:52
12,PF,Henry Gabriel Azevedo,,48171305636,,henry.gabriel.azevedo.12@example.com,5509983930103,TRUE,2025-11-23 08:02:39,2026-01-08 13:45:22
13,PJ,Andrade Ltda.,,95941359000170,183473829,andrade.ltda.13@example.com,5573976311656,TRUE,2022-12-30 13:12:43,2023-11-04 14:52:19
14,PJ,Martins ME,,23062378000115,ISENTO,martins.me.14@example.com,5572962473178,TRUE,2026-05-07 03:02:50,2026-09-15 01:08:44
15,PJ,Aragão e Filhos Ltda,Borges S.A.,03855975000190,267736026,arag.o.e.filhos.ltda.15@example.com,5564974687234,TRUE,2021-01-14 15:47:55,2023-08-24 18:40:07
16,PF,Benjamin Pacheco,,21166696189,,benjamin.pacheco.16@example.com,5505900978820,TRUE,2022-08-27 21:48:54,2025-02-13 01:04:07
17,PJ,Cirino S/A S.A.,Rocha S.A.,56132960000160,619399091,cirino.s.a.s.a.17@example.com,5599985435346,TRUE,2022-04-02 12:46:14,2024-11-29 13:16:07
18,PJ,Rios Ramos Ltda.,Dias,21989622000164,107991183,rios.ramos.ltda.18@example.com,5542951354278,TRUE,2026-11-05 09:22:36,2026-12-21 05:58:33
19,PF,Sra. Vitória Albuquerque,,02524336107,,sra.vit.ria.albuquerque.19@example.com,5541924118244,TRUE,2021-04-27 19:48:55,2021-08-17 19:52:09
20,PJ,Silva Fernandes S.A.,Montenegro,88142597000150,740164005,silva.fernandes.s.a.20@example.com,55042978680112,TRUE,2024-11-09 22:42:24,2025-07-06 19:31:09
21,PF,Ana Carolina Freitas,,44728487164,,ana.carolina.freitas.21@example.com,5582962045053,TRUE,2026-11-06 05:23:26,2026-12-10 17:37:29
22,PF,Isadora Rios,,98235269740,,isadora.rios.22@example.com,5558969232260,TRUE,2025-05-23 08:00:13,2026-10-20 18:31:13
23,PF,Lucas Gabriel Viana,,69638060638,,lucas.gabriel.viana.23@example.com,5534921607337,TRUE,2021-05-02 05:55:24,2025-04-14 15:47:45
24,PF,Dr. Ian Câmara,,55512236636,,dr.ian.c.mara.24@example.com,5536954145868,TRUE,2024-11-14 22:50:28,2025-07-30 14:24:33
25,PF,Sr. Danilo da Luz,,98582268106,,sr.danilo.da.luz.25@example.com,55094901965569,TRUE,2025-06-16 08:27:29,2026-11-19 21:34:27
26,PJ,Gomes - EI EIRELI,da Cunha Aparecida e Filhos,91478345000100,608835615,gomes.ei.eireli.26@example.com,5551948465648,TRUE,2023-09-09 13:17:51,2024-05-09 16:10:57
27,PF,Gael Leão,,99077203800,,gael.le.o.27@example.com,5529994680443,TRUE,2020-07-18 23:36:11,2021-07-15 01:04:54
