id,legal_name,trade_name,country,tax_id,tax_id_type,email,phone,contact_name,is_active,created_at,updated_at
1,Vargas da Cruz S.A.,Vargas,BR,91577583000173,CNPJ,contact.1@vargas.example,06100715800,Sabrina Azevedo,TRUE,2025-08-22 19:29:49,2026-01-31 18:26:46
2,Rezende ME,Rezende,BR,99546295000163,CNPJ,contact.2@rezende.example,5507186332343,Nathan Fernandes,TRUE,2022-06-30 16:43:02,2024-04-11 16:15:32
3,da Rocha EIRELI,,BR,43846339000116,CNPJ,contact.3@da.example,01188839237,Sr. Thales Cirino,TRUE,2022-04-04 19:45:01,2025-03-05 18:02:57
4,Moura Duarte - EI ME,,BR,71553283000147,CNPJ,contact.4@moura.example,5501158545513,Bruna Oliveira,TRUE,2021-05-21 17:43:31,2025-02-11 22:07:24
5,Viana Ltda,,BR,77547310000155,CNPJ,contact.5@viana.example,5504134823678,Gabrielly Novaes,TRUE,2022-02-14 13:14:54,2025-04-01 01:33:38
6,Costa ME,Costa,BR,65506770000156,CNPJ,contact.6@costa.example,6193238004,Srta. Maria Sophia da Cunha,FALSE,2024-06-20 23:57:29,2026-12-09 15:31:39
7,Fonseca EIRELI,,BR,02428608000147,CNPJ,contact.7@fonseca.example,4146648674,Matteo da Conceição,TRUE,2023-08-09 02:53:39,2024-01-16 00:50:44
8,Vargas,,FR,FR-10771657,VAT,contact.8@vargas.example,553120631755,Pedro Miguel Mendes,TRUE,2025-06-26 15:15:09,2026-03-27 01:26:37
9,Andrade ME,,BR,36526926000162,CNPJ,contact.9@andrade.example,557145840811,Sra. Isis Barros,TRUE,2020-03-10 15:17:06,2023-11-25 00:40:00
10,Macedo ME,Macedo,BR,62763071000101,CNPJ,contact.10@macedo.example,5505181436116,Maria Helena Campos,TRUE,2023-12-16 06:37:02,2024-10-27 08:22:44
11,das Neves - ME,das,BR,80162134000148,CNPJ,contact.11@das.example,5504136118926,Dra. Alícia Viana,TRUE,2022-09-14 17:47:43,2024-05-27 19:42:17
12,Fernandes, Fernandes,IT,IT-515800274,VAT,contact.12@fernandes.example,08146542683,Sofia Sá,TRUE,2021-10-03 23:24:45,2026-12-06 05:55:56
13,Vasconcelos EIRELI,Vasconcelos,BR,61526776000134,CNPJ,contact.13@vasconcelos.example,553177140344,Luara da Mota,TRUE,2020-12-11 17:49:23,2023-10-12 10:51:37
14,Nunes S.A.,,BR,09400148000198,CNPJ,contact.14@nunes.example,1166003011,Maria Sophia Ramos,TRUE,2024-01-15 15:30:23,2024-09-26 12:45:27
15,Cassiano Monteiro S.A.,Cassiano,BR,92774290000149,CNPJ,contact.15@cassiano.example,552186974217,Srta. Maria Julia Moura,TRUE,2023-10-29 07:58:55,2024-03-29 07:25:48
16,Nascimento Freitas e Filhos ME,Nascimento,BR,12309585000105,CNPJ,contact.16@nascimento.example,5508195709340,Dra. Antonella Jesus,TRUE,2021-01-31 15:44:30,2025-12-07 01:52:28
17,Andrade S.A.,,BR,36483319000162,CNPJ,contact.17@andrade.example,7111364034,Isis Novais,TRUE,2022-12-15 04:44:00,2026-02-20 09:22:23
18,Correia Ltda,,BR,19798070000165,CNPJ,contact.18@correia.example,07170062795,Dra. Lívia Santos,TRUE,2026-05-23 11:40:59,2026-11-17 10:13:52
19,das Neves S.A.,,BR,29937055000104,CNPJ,contact.19@das.example,03005449669,Dr. Davi Miguel Barros,TRUE,2026-11-26 12:20:22,2026-12-09 21:43:10
20,Sampaio ME,Sampaio,BR,33930287000108,CNPJ,contact.20@sampaio.example,1162752800,Oliver Souza,TRUE,2026-01-26 08:28:54,2026-03-20 19:29:25
21,Ramos - ME,Ramos,BR,75978786000115,CNPJ,contact.21@ramos.example,5508444794592,Levi Rocha,TRUE,2020-01-17 08:34:54,2025-05-27 14:53:51
22,Jesus e Filhos Ltda,,BR,60592310000174,CNPJ,contact.22@jesus.example,551183264897,Srta. Ana Clara Aragão,TRUE,2025-07-20 11:25:26,2026-07-20 01:24:37
23,Macedo S/A EIRELI,Macedo,BR,95661377000106,CNPJ,contact.23@macedo.example,06181294576,Isaque Aparecida,TRUE,2020-03-04 11:53:23,2026-05-07 07:20:46
24,Vasconcelos S.A.,Vasconcelos,BR,63232309000127,CNPJ,contact.24@vasconcelos.example,03004841423,Dr. Dom Viana,FALSE,2021-04-19 03:35:44,2026-03-29 11:01:35
25,Porto Cunha - ME,,BR,75392911000100,CNPJ,contact.25@porto.example,5504187567981,Giovanna Aragão,TRUE,2023-06-12 16:31:34,2024-06-25 05:25:01
